Ad ID,Ad Name,Status,Effective Status,Campaign Type,Target Audience,Creative Variation,Ad Set ID,Campaign ID,Creative ID,Pixel Tracking,Conversion Tracking,Geographic Target,Created Date,Last Updated,Notes
120212567044480447,"FD25 - USA - INTEREST - PV - BROAD - (Edited L)",ACTIVE,ACTIVE,Father's Day 2025,INTEREST,Edited L,120212567044480446,120212567044480445,120212567044480448,TRUE,TRUE,USA,2025-01-15,2025-01-18,"Creative variation testing for father's day 2025 campaign"
120212567044480449,"FD25 - USA - INTEREST - PV - BROAD - (Edited B)",ACTIVE,ACTIVE,Father's Day 2025,INTEREST,Edited B,120212567044480446,120212567044480445,120212567044480450,TRUE,TRUE,USA,2025-01-15,2025-01-18,"Alternative creative variation for A/B testing"
120212567044480451,"BF24 - USA - INTEREST - PV - BROAD",PAUSED,PAUSED,Black Friday 2024,INTEREST,Original,120212567044480452,120212567044480453,120212567044480454,TRUE,TRUE,USA,2024-11-20,2024-12-05,"Seasonal promotional campaign for holiday shopping period"
120212567044480455,"Evergreen - USA - LOOKALIKE - PV - 1%",ACTIVE,ACTIVE,Evergreen,LOOKALIKE,Original,120212567044480456,120212567044480457,120212567044480458,TRUE,TRUE,USA,2024-10-01,2025-01-18,"Ongoing campaign targeting lookalike audiences based on existing customers"
120212567044480459,"FD25 - USA - INTEREST - PV - BROAD - (Edited S)",ACTIVE,ACTIVE,Father's Day 2025,INTEREST,Edited S,120212567044480446,120212567044480445,120212567044480460,TRUE,TRUE,USA,2025-01-15,2025-01-18,"Additional creative variation for father's day testing"
120212567044480461,"FD25 - USA - INTEREST - PV - BROAD - (Edited P)",ACTIVE,ACTIVE,Father's Day 2025,INTEREST,Edited P,120212567044480446,120212567044480445,120212567044480462,TRUE,TRUE,USA,2025-01-15,2025-01-18,"Fourth creative variation for comprehensive A/B testing"
120212567044480463,"Evergreen - USA - INTEREST - Video - Reaction",ACTIVE,ACTIVE,Evergreen,INTEREST,Original,120212567044480464,120212567044480457,120212567044480465,TRUE,TRUE,USA,2024-09-15,2025-01-10,"Video reaction content for evergreen campaigns"
120212567044480466,"BF24 - USA - LOOKALIKE - 1% - Video",PAUSED,PAUSED,Black Friday 2024,LOOKALIKE,Original,120212567044480467,120212567044480453,120212567044480468,TRUE,TRUE,USA,2024-11-18,2024-12-05,"Video creative for Black Friday lookalike audience"
120212567044480469,"Royal Theme - USA - INTEREST - Fantasy",ACTIVE,ACTIVE,Evergreen,INTEREST,Original,120212567044480470,120212567044480457,120212567044480471,TRUE,TRUE,USA,2024-08-20,2025-01-05,"Royal/fantasy themed creative variation"
120212567044480472,"UGC - USA - BROAD - Customer Stories",ACTIVE,ACTIVE,Evergreen,BROAD,Original,120212567044480473,120212567044480457,120212567044480474,TRUE,TRUE,USA,2024-12-01,2025-01-12,"User-generated content featuring customer stories" 